step,fast_slow_gap,fast_wins,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,warmup_remaining,predictor_nll
15600,-0.04557800,0,-20.82772446,-20.78214645,24.20177460,17.02541351,0.06745370,0.06013665,0,22.02336836
15700,2.81147003,1,-23.00574112,-25.81721115,3.62408876,2.85277462,0.01819639,0.01701158,0,22.86070490
15800,1.92755127,1,-21.02040482,-22.94795609,21.09529686,14.70438290,0.07483751,0.07640511,0,21.90350024
15900,1.36242294,1,-17.64295578,-19.00537872,6.74608088,4.99207735,0.02618303,0.02829174,0,17.66867113
16000,7.07829285,1,-76.92984772,-84.00814056,1.29639244,1.22418833,0.00499127,0.00471582,0,78.49591573
16100,0.55009651,1,-17.38375664,-17.93385315,18.88056755,13.43190002,0.03024349,0.02363548,0,17.27374840
16200,0.59528542,1,-18.59462547,-19.18991089,35.87510681,34.52384949,0.09330696,0.09722339,0,19.79360962
16300,1.26447296,1,-18.01940918,-19.28388214,22.01786613,20.90159798,0.06536751,0.06164070,0,18.35537434
16400,0.23663521,1,-19.57197762,-19.80861282,8.72265530,9.26906204,0.03102766,0.02928000,0,19.68330669
16500,0.93540573,1,-18.82259369,-19.75799942,6.61564302,7.57979155,0.03371398,0.03346118,0,19.39033000
16600,0.71870422,1,-18.86191177,-19.58061600,17.62378693,20.90608978,0.07818738,0.07831767,0,18.99356842
16700,0.92679787,1,-16.26258469,-17.18938255,14.79527092,18.40033531,0.05654985,0.05698021,0,16.09298539
16800,1.02199173,1,-17.42833900,-18.45033073,22.01926422,27.35947037,0.05471832,0.05136231,0,17.71662521
16900,-0.09423065,0,-16.26782990,-16.17359924,38.28919220,45.05794907,0.13378778,0.13792473,0,18.88508368
17000,-0.41614532,0,-38.29734039,-37.88119507,1.17435467,1.21823406,0.00450469,0.00426796,0,38.47581100
17100,1.00953674,1,-16.28780556,-17.29734230,5.73314190,6.35288048,0.02917629,0.02536898,0,16.07773399
17200,0.56753540,1,-24.24691772,-24.81445312,2.78650832,2.77883482,0.02493509,0.02440110,0,24.12280607
17300,0.57962990,1,-19.01189613,-19.59152603,23.47816277,22.63779640,0.09075410,0.08712124,0,19.03252745
17400,0.55318260,1,-16.73478127,-17.28796387,18.58701897,15.66107559,0.04709206,0.05085187,0,16.35835552
17500,0.21019936,1,-17.01906013,-17.22925949,26.33739471,26.75759506,0.05946694,0.05761345,0,18.71401072
17600,0.86619568,1,-16.05125046,-16.91744614,20.18263435,22.60067558,0.05885798,0.05817469,0,16.79913998
17700,1.17034912,1,-14.59247971,-15.76282883,6.96023130,7.80197811,0.03995981,0.04320165,0,14.81139851
17800,1.54860115,1,-17.97618484,-19.52478600,15.59886646,18.95868301,0.05207404,0.05454221,0,19.64444160
17900,2.45676804,1,-17.25962448,-19.71639252,28.43759155,32.90177917,0.13141899,0.12852380,0,18.52585602
18000,-0.10569763,0,-48.27435303,-48.16865540,1.16352618,1.19390166,0.00312978,0.00275626,0,48.18764019
18100,1.38627815,1,-15.56928062,-16.95555878,5.10612202,5.29995203,0.03815836,0.03461714,0,15.36710008
18200,1.50664711,1,-18.94536781,-20.45201492,10.63497543,10.69442368,0.07265617,0.07034291,0,19.06950111
18300,1.81913567,1,-19.44437408,-21.26350975,8.71200562,7.65428352,0.03513049,0.03204538,0,20.07740211
18400,0.86209679,1,-19.74118805,-20.60328484,25.65414047,22.57445526,0.08074315,0.08233174,0,19.14298948
18500,0.99320793,1,-18.20755196,-19.20075989,19.16884041,15.01417542,0.07266653,0.06571987,0,18.61577670
18600,1.41871262,1,-21.80169106,-23.22040367,9.54817390,7.98275185,0.05363521,0.05641291,0,22.41784604
18700,1.94972420,1,-19.39989281,-21.34961700,8.87610722,7.20691109,0.04053024,0.04154638,0,19.71485376
18800,0.43125916,1,-16.17322922,-16.60448837,19.02035332,15.11152840,0.08323284,0.07740805,0,16.73385696
18900,1.97603035,1,-17.58129883,-19.55732918,10.27391720,8.47466660,0.03404580,0.03067569,0,17.52179972
19000,2.21995544,1,-33.57699203,-35.79694748,1.23440218,1.18846524,0.00304715,0.00284799,0,33.52548726
19100,1.22667885,1,-19.38001633,-20.60669518,22.78356361,18.60207748,0.05825847,0.05411852,0,20.32411814
19200,2.20317650,1,-19.97697639,-22.18015289,5.14530754,4.24348640,0.02459048,0.02369854,0,20.54115677
19300,0.85099983,1,-18.25822067,-19.10922050,12.83385754,10.61452007,0.04466448,0.04064088,0,18.98417616
19400,1.96626663,1,-19.90737152,-21.87363815,10.85249043,9.25875854,0.04683813,0.04087056,0,19.45721436
19500,1.55039024,1,-18.25933075,-19.80972099,8.64243507,7.58974361,0.03643113,0.03796956,0,18.30703163
19600,1.53306198,1,-20.80314255,-22.33620453,40.91334152,39.75800323,0.12130984,0.10900838,0,33.05239868
19700,-0.26119995,0,-22.15708351,-21.89588356,45.78535461,46.63652802,0.11997489,0.09334864,0,45.82313919
19800,1.74028969,1,-16.85913849,-18.59942818,14.98948479,17.26634979,0.04257353,0.04086395,0,16.90369873
19900,1.74281883,1,-20.02628517,-21.76910400,33.98950958,38.50284195,0.06709951,0.06135081,0,20.89189593
20000,-1.63025665,0,-51.47708130,-49.84682465,1.29936397,1.34194505,0.00512592,0.00499314,0,54.20247459
20100,-0.51199341,0,-17.14956474,-16.63757133,8.92431736,10.95932198,0.04882916,0.04769386,0,16.87130674
20200,-0.27707863,0,-19.88151932,-19.60444069,4.65778255,4.94064236,0.03095095,0.02646751,0,19.99570656
20300,-0.21737862,0,-20.05949593,-19.84211731,38.86503601,40.83216858,0.10232371,0.09191002,0,28.14883868
20400,0.07296371,1,-21.70429230,-21.77725601,10.51550674,12.31312180,0.06419108,0.06333148,0,21.97136879
20500,2.32472324,1,-15.23158932,-17.55631256,27.68387222,32.11178970,0.10511577,0.09615246,0,13.73185730
20600,-0.62472153,0,-20.08394623,-19.45922470,9.07474995,11.15771484,0.03471040,0.03165920,0,19.98037720
20700,1.54678917,1,-21.04368973,-22.59047890,25.27963066,32.19638062,0.09818050,0.09611177,0,22.21638184
20800,0.60361767,1,-15.06540775,-15.66902542,22.84271049,30.10079956,0.07514787,0.07797609,0,16.01956201
20900,0.54752350,1,-16.37758636,-16.92510986,33.76800156,41.00952148,0.12408027,0.12041422,0,18.31447728
21000,-2.28930664,0,-55.31558990,-53.02628326,1.16354322,1.20581579,0.00494243,0.00454035,0,56.39686012
21100,-0.30096245,0,-23.11285591,-22.81189346,4.59661198,5.09610844,0.03297981,0.03224351,0,23.29360723
21200,-0.34427452,0,-16.46729469,-16.12302017,24.94961357,24.96277809,0.08999053,0.07716236,0,16.79913759
21300,-0.99951553,0,-20.08502388,-19.08550835,36.26823807,40.21327972,0.12194961,0.12360480,0,23.75121816
21400,-1.03032684,0,-21.51495361,-20.48462677,31.16856575,35.41651917,0.08942009,0.08771488,0,22.47401237
21500,-0.21890640,0,-18.24230194,-18.02339554,32.58924484,36.72383881,0.09001879,0.08561677,0,19.53287659
21600,-0.25878048,0,-15.86341572,-15.60463524,9.46119308,10.73905849,0.03558235,0.03563638,0,15.82269549
21700,0.00270653,1,-15.59181213,-15.59451866,29.12570572,36.40548325,0.12213712,0.12562852,0,14.95500565
21800,0.03170395,1,-16.63146210,-16.66316605,15.70730591,20.58239365,0.06558488,0.06107300,0,16.37630415
21900,0.73944473,1,-13.94364643,-14.68309116,21.93570709,27.36328888,0.10978387,0.10659155,0,15.26818275
22000,-1.02957153,0,-67.27610779,-66.24653625,1.24110770,1.28231192,0.00885516,0.00807391,0,69.59364700
22100,1.46645927,1,-20.69448662,-22.16094589,26.91543198,25.96409416,0.14907090,0.14188866,0,21.44033813
22200,0.49942017,1,-16.56261063,-17.06203079,10.79993057,9.39301872,0.04418902,0.03663674,0,16.47468996
22300,-0.92962265,0,-17.13709068,-16.20746803,21.80058289,16.72385979,0.04697962,0.04830364,0,17.86533451
22400,1.09210777,1,-17.53769684,-18.62980461,28.34920120,23.91567612,0.08475503,0.08233247,0,18.39553197
22500,0.86262512,1,-15.35446548,-16.21709061,19.11293602,17.08910751,0.07828816,0.07392103,0,15.88142705
22600,-1.64882183,0,-17.58886528,-15.94004345,40.53240967,42.17486572,0.13778012,0.13364209,0,23.96317720
22700,-0.51260376,0,-15.64095497,-15.12835121,21.21868515,23.20354462,0.04366655,0.04560505,0,15.76739597
22800,-0.75372696,0,-19.16723251,-18.41350555,34.35749054,39.97118378,0.10931620,0.10824434,0,19.23966281
22900,0.63039780,1,-17.91496277,-18.54536057,30.19837761,33.35956573,0.12801424,0.13281737,0,19.56164837
23000,0.25293732,1,-54.85637665,-55.10931396,1.14953852,1.15324736,0.00392107,0.00373862,0,55.23457718
