step,bucket_id,bucket_trusted,became_trusted,learning_samples,prediction_error,baseline_error_mean,baseline_error_std,z_score,L_t,W_t,warning,shadow_active,warmup_remaining,regime_change,num_trusted_buckets
16900,275,0,0,11,0.27234961,0.81436576,0.30243533,nan,0.00000000,0.00000000,0,0,0,0,0
17000,304,0,0,37,0.43341348,0.58622816,0.46985386,nan,0.00000000,0.00000000,0,0,0,0,0
17100,284,0,0,7,0.28635829,0.42937923,0.20043974,nan,0.00000000,0.00000000,0,0,0,0,0
17200,11,0,0,12,0.51119736,0.66843257,0.21972093,nan,0.00000000,0.00000000,0,0,0,0,0
17300,415,0,0,10,1.14152471,0.56349359,0.20285596,nan,0.00000000,0.00000000,0,0,0,0,0
17400,510,0,0,30,0.18613375,0.60106841,0.50918802,nan,0.00000000,0.00000000,0,0,0,0,0
17500,259,0,0,11,0.35451948,0.70749752,0.29375157,nan,0.00000000,0.00000000,0,0,0,0,0
17600,15,0,0,33,0.13380759,0.43245245,0.30451482,nan,0.00000000,0.00000000,0,0,0,0,0
17700,509,0,0,22,0.41950233,0.67413809,0.31596558,nan,0.00000000,0.00000000,0,0,0,0,0
17800,27,0,0,17,0.28699658,0.88628012,0.47247948,nan,0.00000000,0.00000000,0,0,0,0,0
17900,494,0,0,13,0.38148504,0.77197978,0.24930887,nan,0.00000000,0.00000000,0,0,0,0,0
18000,64,0,0,51,0.32823940,0.26614796,0.21725505,nan,0.00000000,0.00000000,0,0,0,0,0
18100,104,0,0,4,0.26824800,1.35132619,0.29685970,nan,0.00000000,0.00000000,0,0,0,0,0
18200,510,0,0,38,0.19534046,0.45675014,0.46633462,nan,0.00000000,0.00000000,0,0,0,0,0
18300,275,0,0,17,0.50585606,0.71419448,0.31336314,nan,0.00000000,0.00000000,0,0,0,0,0
18400,474,0,0,11,0.50974200,0.52088146,0.14005687,nan,0.00000000,0.00000000,0,0,0,0,0
18500,206,0,0,134,0.07664061,0.13683224,0.14441586,nan,0.00000000,0.00000000,0,0,0,0,0
18600,143,0,0,42,1.06059563,0.38111721,0.30215161,nan,0.00000000,0.00000000,0,0,0,0,0
18700,68,0,0,61,0.03081736,0.31480234,0.52372118,nan,0.00000000,0.00000000,0,0,0,0,0
18800,228,0,0,101,0.15786168,0.12415513,0.14043972,nan,0.00000000,0.00000000,0,0,0,0,0
18900,478,0,0,31,1.34477930,0.67610407,0.65040064,nan,0.00000000,0.00000000,0,0,0,0,0
19000,16,0,0,16,0.13156608,1.63791593,1.27654122,nan,0.00000000,0.00000000,0,0,0,0,0
19100,50,0,0,11,0.18766738,1.25839544,0.50020736,nan,0.00000000,0.00000000,0,0,0,0,0
19200,133,0,0,51,0.06002722,0.17659244,0.22065550,nan,0.00000000,0.00000000,0,0,0,0,0
19300,313,0,0,20,0.36443934,0.79610527,0.38886586,nan,0.00000000,0.00000000,0,0,0,0,0
19400,361,0,0,9,1.35991492,0.76578259,0.24429255,nan,0.00000000,0.00000000,0,0,0,0,0
19500,369,0,0,73,0.01933393,0.24014928,0.22048213,nan,0.00000000,0.00000000,0,0,0,0,0
19600,235,0,0,10,0.50173034,0.81729247,0.21134684,nan,0.00000000,0.00000000,0,0,0,0,0
19700,266,0,0,8,0.29293314,0.80965515,0.20627008,nan,0.00000000,0.00000000,0,0,0,0,0
19800,2,0,0,44,0.36437365,0.56468739,0.47566446,nan,0.00000000,0.00000000,0,0,0,0,0
19900,368,0,0,50,0.19570835,0.29496908,0.23841723,nan,0.00000000,0.00000000,0,0,0,0,0
20000,50,0,0,13,0.40691159,1.17748120,0.53522221,nan,0.00000000,0.00000000,0,0,0,0,0
20100,142,0,0,107,0.04448762,0.18752759,0.20761648,nan,0.00000000,0.00000000,0,0,0,0,0
20200,159,0,0,33,0.04007694,0.56209443,0.45182938,nan,0.00000000,0.00000000,0,0,0,0,0
20300,262,0,0,17,0.14207535,0.78878334,0.32041234,nan,0.00000000,0.00000000,0,0,0,0,0
20400,352,0,0,50,0.08529550,0.35570064,0.34500696,nan,0.00000000,0.00000000,0,0,0,0,0
20500,305,0,0,85,0.08920432,0.23446647,0.19934373,nan,0.00000000,0.00000000,0,0,0,0,0
20600,435,0,0,17,0.45099599,0.71784606,0.29954504,nan,0.00000000,0.00000000,0,0,0,0,0
20700,96,0,0,29,0.42980584,0.45581736,0.27224942,nan,0.00000000,0.00000000,0,0,0,0,0
20800,379,0,0,45,0.05536508,0.56038758,0.71415511,nan,0.00000000,0.00000000,0,0,0,0,0
20900,406,0,0,17,0.51413844,0.57157862,0.27676097,nan,0.00000000,0.00000000,0,0,0,0,0
21000,14,0,0,50,0.09362257,0.23551250,0.21225509,nan,0.00000000,0.00000000,0,0,0,0,0
21100,198,0,0,56,0.24059337,0.32659812,0.30685285,nan,0.00000000,0.00000000,0,0,0,0,0
21200,434,0,0,83,0.06258848,0.21581312,0.20871730,nan,0.00000000,0.00000000,0,0,0,0,0
21300,3,0,0,9,0.65080956,1.25576857,0.40911188,nan,0.00000000,0.00000000,0,0,0,0,0
