step,fast_slow_gap,fast_wins,bernoulli_llr,familiarity_weight,weighted_bernoulli_llr,cusum_W,detector_active,regime_change,epistemic_uncertainty,epistemic_ref,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
9900,0.00000000,0,0.00000000,0.33285156,0.00000000,0.00000000,0,0,0.12031296,0.04004636,-24.20566368,-24.20566368,25.14897919,25.14897919,0.12031296,0.12031296,99,0,24.03305244
10000,0.00000000,0,-0.51082562,1.00000000,-0.51082562,0.00000000,1,0,0.00236377,0.04038272,-41.35081482,-41.35081482,1.11167204,1.11167204,0.00236377,0.00236377,0,0,42.45619583
10100,1.75239182,1,0.33647224,0.45561562,0.15330201,19.28604113,1,0,0.08900891,0.04055385,-26.55788040,-28.31027222,14.19107533,12.76288986,0.08028081,0.08900891,0,0,27.08274269
10200,1.28939438,1,0.33647224,0.66072556,0.22231581,38.10599718,1,0,0.06174585,0.04079706,-24.17138672,-25.46078110,14.04534149,12.56500435,0.06230157,0.06174585,0,0,24.73993874
10300,0.11924362,1,0.33647224,0.61322777,0.20633412,58.25845781,1,0,0.06684038,0.04098838,-25.23674011,-25.35598373,26.63292503,21.81558609,0.06784263,0.06684038,0,0,25.72560946
10400,1.98748589,1,0.33647224,0.41061085,0.13815915,42.82557904,1,0,0.10054109,0.04128326,-27.10895157,-29.09643745,49.29931641,47.95905304,0.10899772,0.10054109,0,0,35.38037443
10500,0.69239235,1,0.33647224,1.00000000,0.33647224,37.83620518,1,0,0.03886086,0.04166841,-28.21143913,-28.90383148,10.94148254,9.55250168,0.03989489,0.03886086,0,0,28.64431877
10600,1.20482445,1,0.33647224,0.21874254,0.07360079,35.33988933,1,0,0.19194661,0.04198689,-21.93986130,-23.14468575,49.85780334,48.97225571,0.19768423,0.19194661,0,0,24.16625118
10700,-0.36733437,0,-0.51082562,0.23855727,-0.12186117,40.44317580,1,0,0.17745505,0.04233319,-23.55924797,-23.19191360,48.81784439,46.71697998,0.17590454,0.17745505,0,0,26.15995932
10800,0.16557884,1,0.33647224,0.44260979,0.14892591,42.86619421,1,0,0.09627891,0.04261399,-25.00926590,-25.17484474,36.82356262,36.08671570,0.09172956,0.09627891,0,0,25.41727867
10900,-0.05807686,0,-0.51082562,0.64760622,-0.33081385,51.15450088,1,0,0.06622788,0.04288958,-23.09188080,-23.03380394,32.03608704,31.58286476,0.07239817,0.06622788,0,0,23.29352570
11000,0.46465302,1,0.33647224,1.00000000,0.33647224,59.74385879,1,0,0.00258161,0.04317513,-66.74640656,-67.21105957,1.15117657,1.14901459,0.00251214,0.00258161,0,0,67.17015533
11100,1.79011345,1,0.33647224,0.25768517,0.08670391,77.40882481,1,0,0.16757458,0.04318149,-27.59775925,-29.38787270,33.06069946,31.72633934,0.15814008,0.16757458,0,0,30.78375244
11200,-1.97549438,0,-0.51082562,0.31836480,-0.16262890,86.92874731,1,0,0.13647811,0.04344983,-28.44928741,-26.47379303,46.81445694,46.33856964,0.15600076,0.13647811,0,0,32.11682653
11300,0.56867790,1,0.33647224,0.82776519,0.27852000,96.15772129,1,0,0.05281267,0.04371649,-22.05031013,-22.61898804,22.00507736,20.40394974,0.05017165,0.05281267,0,0,22.02056694
11400,0.00000000,0,0.00000000,0.39239337,0.00000000,0.00000000,0,0,0.11218116,0.04401914,-21.96815872,-21.96815872,33.00600815,33.00600815,0.11218116,0.11218116,0,961,22.51878452
11500,0.00000000,0,0.00000000,0.43452613,0.00000000,0.00000000,0,0,0.10211592,0.04437204,-22.16540337,-22.16540337,43.27587509,43.27587509,0.10211592,0.10211592,0,861,22.98579216
11600,0.00000000,0,0.00000000,0.62066543,0.00000000,0.00000000,0,0,0.07196387,0.04466549,-23.80317879,-23.80317879,15.14175606,15.14175606,0.07196387,0.07196387,0,761,23.78029680
11700,0.00000000,0,0.00000000,0.62995094,0.00000000,0.00000000,0,0,0.07132328,0.04493016,-23.17054367,-23.17054367,23.58192253,23.58192253,0.07132328,0.07132328,0,661,23.37384033
11800,0.00000000,0,0.00000000,0.45685050,0.00000000,0.00000000,0,0,0.09892069,0.04519197,-22.75936317,-22.75936317,41.26615906,41.26615906,0.09892069,0.09892069,0,561,23.71226788
